algorithm,silhouette_score,davies_bouldin_score,execution_time
DBSCAN,-1.0,-1.0,0.028806209564208984
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0042934417724609375
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.031502485275268555
DBSCAN,-1.0,-1.0,0.02877497673034668
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0034322738647460938
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.024482250213623047
DBSCAN,-1.0,-1.0,0.029494285583496094
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.003339052200317383
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.019756555557250977
DBSCAN,-1.0,-1.0,0.033527374267578125
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.003069639205932617
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.026497840881347656
DBSCAN,-1.0,-1.0,0.026632308959960938
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0030808448791503906
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.029663562774658203
DBSCAN,-1.0,-1.0,0.029381990432739258
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0032439231872558594
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.020635366439819336
DBSCAN,-1.0,-1.0,0.024558305740356445
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0037131309509277344
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.01993536949157715
DBSCAN,-1.0,-1.0,0.03271150588989258
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.00283050537109375
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.01928257942199707
DBSCAN,-1.0,-1.0,0.0349881649017334
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0031061172485351562
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.02151656150817871
DBSCAN,-1.0,-1.0,0.031970977783203125
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0031533241271972656
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.0276334285736084
DBSCAN,-1.0,-1.0,0.030786752700805664
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0033524036407470703
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.027912139892578125
DBSCAN,-1.0,-1.0,0.02805328369140625
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0031659603118896484
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.024654150009155273
DBSCAN,-1.0,-1.0,0.027419090270996094
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0036172866821289062
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.01990818977355957
DBSCAN,-1.0,-1.0,0.032666921615600586
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.002949237823486328
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.02431511878967285
DBSCAN,-1.0,-1.0,0.030487060546875
KMeans_k=3,0.3577372751752285,0.9952971989394287,0.0032629966735839844
AgglomerativeClustering,0.271123110514088,1.27902280364379,0.02156805992126465
DBSCAN,-1.0,-1.0,0.030607938766479492
